Zone,Apartment_Type,SPL,RT60 (material ac),RT60(seconds),Element,Material,Absortion_Coefficient,Height,Surface_Area(m),Facade_Dampening(Score),Comfort_Index
HD-Urban-V1,2Bed,0.27,4.455,0.732765,Window,Large Pane Glass + Fiberglass Board,0.495,12,9,10.588736,0.501
HD-Urban-V1,2Bed,0.349,0.783,0.711835,Door,Fire-Rated Door with Mineral Core + Plaster with Wallpaper Backing,0.087,12,9,10.813841,0.398
HD-Urban-V1,3Bed,0.337,3.24,1.448073,Wall,Concrete Block (Coarse),0.36,6,9,8.546097,0.975
GreenEdge-V3,3Bed,0.205,0.09,0.812749,Wall,Painted Brick,0.01,3,9,6.159456,0.494
Roadside-V2,2Bed,0.349,0.63,0.648759,Floor,Wood Parquet,0.07,12,9,9.172021,0.308
HD-Urban-V0,2Bed,0.33,2.7,0.768393,Floor,Thin Carpet on Wood,0.3,12,9,9.322669,0.495
HD-Urban-V1,2Bed,0.329,0.9,1.295895,Ceiling,0.8mm Perforated Metal Tiles with 25mm Thick Resin-Bonded Fibreglass Slab,0.1,12,9,9.05634,0.479
HD-Urban-V0,3Bed,0.366,1.71,2.331199,Ceiling,"Metal Deck (Perforated Channels, 25mm Batts)",0.19,3,9,8.955999,0.457
MD-Urban-V2,3Bed,0.255,2.961,1.452014,Window,Glazed Ceramic Tile + Concrete Block (Painted),0.329,3,9,11.032543,0.491
Roadside-V1,3Bed,0.431,0.846,1.463967,Window,Double Pane Glass + Plaster with Wallpaper Backing,0.094,3,9,11.251825,0.487
HD-Urban-V1,3Bed,0.339,1.071,0.990868,Window,Small Pane Glass + Wood Paneling,0.119,3,9,11.946165,0.496
GreenEdge-V3,3Bed,0.201,0.522,0.878725,Door,Plywood Door + Gypsum Board,0.058,3,9,9.088394,0.486
Roadside-V2,3Bed,0.338,0.27,1.387289,Wall,Unpainted Brick,0.03,3,9,6.141331,0.408
HD-Urban-V0,3Bed,0.344,0.27,1.175505,Wall,Concrete Block (Painted),0.46,6,9,7.929892,0.998
HD-Urban-V0,3Bed,0.414,4.14,0.837162,Floor,Thick Pile Carpet,0.5,3,9,12.909809,0.466
HD-Urban-V1,3Bed,0.332,0.09,0.861694,Floor,Marble,0.01,6,9,14.919933,0.308
HD-Urban-V1,3Bed,0.263,4.5,1.046101,Ceiling,0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass,0.5,6,9,15.979313,0.895
GreenEdge-V3,3Bed,0.125,1.8,0.851866,Ceiling,"Plaster Decorative Panels, Ceilings",0.2,6,9,9.504543,0.819
Roadside-V2,3Bed,0.365,4.275,1.245275,Window,Wired Glass + Fiberglass Board,0.475,6,9,9.203809,0.917
Ind-Zone-V0,3Bed,0.542,0.252,0.835103,Window,Glass Block + Plaster with Wallpaper Backing,0.028,6,9,9.092167,0.809
Roadside-V2,3Bed,0.347,0.207,1.361992,Window,Insulated Glazing Unit + Plaster on Masonry,0.023,6,9,12.603187,0.984
HD-Urban-V0,3Bed,0.367,0.288,1.300794,Door,Plywood Door + Plaster on Masonry,0.032,6,9,14.400429,0.981
HD-Urban-V0,3Bed,0.35,0.09,0.994297,Wall,Painted Brick,0.01,6,9,7.929892,0.94
MD-Urban-V2,3Bed,0.26,0.45,0.89344,Wall,Gypsum Board,0.05,3,9,7.22573,0.331
HD-Urban-V1,3Bed,0.272,0.09,1.020935,Floor,Terrazzo,0.01,9,9,9.402481,0.805
HD-Urban-V1,3Bed,0.351,0.27,0.71985,Floor,Vinyl Tile,0.03,9,9,9.17202,0.805
HD-Urban-V0,3Bed,0.308,6.3,1.213708,Ceiling,Sprayed Cellulose Fiber (75mm on Solid Backing),0.7,9,9,6.705196,0.963
GreenEdge-V3,3Bed,0.189,4.05,0.930389,Ceiling,"12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",0.45,9,9,6.720852,0.895
Roadside-V1,3Bed,0.422,2.961,1.196597,Window,Glass Block + Concrete Block (Painted),0.329,9,9,6.612164,0.917
GreenEdge-V3,3Bed,0.181,2.781,0.830091,Window,Glazed Ceramic Tile + Acoustic Plaster,0.309,9,9,5.612209,0.998
HD-Urban-V1,3Bed,0.335,1.098,0.801412,Window,Large Pane Glass + Wood Paneling,0.122,12,9,7.457975,0.805
HD-Urban-V0,3Bed,0.379,1.422,0.981751,Door,Laminated Glass Door + Wood Paneling,0.158,12,0,5.77643,0.908
Roadside-V1,3Bed,0.468,0.27,1.37503,Wall,Unpainted Brick,0.03,3,9,6.141331,0.398
HD-Urban-V1,3Bed,0.292,5.85,1.314993,Wall,Fiberglass Board,0.65,3,9,5.867117,0.423
HD-Urban-V0,3Bed,0.35,0.45,0.994297,Wall,Acoustic Plaster,0.5,6,9,5.876703,0.895
Ind-Zone-V0,3Bed,0.502,0.45,0.668441,Wall,Acoustic Plaster,0.5,6,9,5.879072,0.975
HD-Urban-V1,3Bed,0.337,1.35,1.448073,Wall,Wood Paneling,0.15,6,9,5.846802,0.985
HD-Urban-V0,3Bed,0.382,0.45,1.136167,Wall,Gypsum Board,0.05,3,9,8.155674,0.487
MD-Urban-V2,3Bed,0.26,4.14,0.89344,Wall,Concrete Block (Painted),0.46,3,9,8.508686,0.373
Roadside-V2,3Bed,0.321,0.18,1.012356,Wall,Plaster on Masonry,0.02,6,0,6.227412,0.917
HD-Urban-V0,3Bed,0.344,5.85,1.175505,Wall,Fiberglass Board,0.65,6,9,6.21051,0.917
HD-Urban-V0,3Bed,0.35,0.18,0.994297,Wall,Plaster on Masonry,0.02,6,9,6.215275,0.486
HD-Urban-V0,1Bed,0.364,1.35,0.881981,Floor,Cork Floor Tiles,0.15,3,9,10.757535,0.917
MD-Urban-V2,1Bed,0.29,2.7,0.649804,Ceiling,Plasterboard 10mm Thick Backed with 25mm Thick Bitumen,0.3,3,9,11.110577,0.998
Roadside-V1,1Bed,0.453,1.8,0.724136,Ceiling,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind,0.2,3,9,9.162007,0.975
HD-Urban-V1,1Bed,0.286,3.717,0.669764,Window,Laminated Glass + Acoustic Plaster,0.413,3,9,8.850241,0.975
GreenEdge-V3,1Bed,0.161,0.927,0.689774,Window,Small Pane Glass + Wood Paneling,0.103,3,9,8.735585,0.967
Roadside-V2,1Bed,0.332,0.405,0.875098,Window,Insulated Glazing Unit + Gypsum Board,0.045,3,9,10.626201,0.895
Roadside-V2,1Bed,0.377,0.117,0.750084,Door,Double Pane Glass Door + Painted Brick,0.013,3,9,11.785355,0.997
HD-Urban-V0,3Bed,0.366,3.24,1.097751,Wall,Concrete Block (Coarse),0.36,9,9,6.198802,0.471
HD-Urban-V0,3Bed,0.374,0.45,0.888817,Wall,Acoustic Plaster,0.5,6,9,7.926121,0.424
HD-Urban-V1,1Bed,0.258,4.5,0.700295,Floor,Thick Pile Carpet,0.5,3,9,11.611961,0.981
GreenEdge-V3,1Bed,0.149,2.7,1.740495,Floor,Thin Carpet on Wood,0.3,3,9,12.77762,0.978
Roadside-V2,1Bed,0.36,2.16,0.661858,Ceiling,Wood Tongue-and-Groove Roof Decking,0.24,3,9,13.323135,0.984
Ind-Zone-V0,1Bed,0.527,0.54,0.6613,Ceiling,"Mineral Wool Tiles, Glued/Screwed to Soffit",0.06,3,9,10.128245,0.876
Roadside-V2,1Bed,0.343,0.423,1.232281,Window,Large Pane Glass + Gypsum Board,0.047,3,9,10.673736,0.97
HD-Urban-V0,1Bed,0.378,0.864,0.706856,Window,Glazed Ceramic Tile + Wood Paneling,0.096,3,9,10.898841,0.97
HD-Urban-V0,1Bed,0.384,0.405,0.508067,Window,Insulated Glazing Unit + Gypsum Board,0.045,3,9,9.572201,0.985
Ind-Zone-V0,1Bed,0.524,0.162,0.76173,Door,Solid Wood Door + Painted Brick,0.018,6,9,9.487481,0.823
HD-Urban-V0,3Bed,0.366,1.35,1.097751,Wall,Wood Paneling,0.15,12,9,6.950984,0.975
HD-Urban-V0,3Bed,0.374,0.45,0.888817,Wall,Gypsum Board,0.05,12,9,6.886158,0.975
HD-Urban-V0,1Bed,0.332,2.25,0.700295,Floor,Thin Carpet on Concrete,0.25,6,9,9.14134,0.895
GreenEdge-V3,1Bed,0.19,2.7,0.868803,Floor,Thin Carpet on Wood,0.3,6,9,9.040999,0.998
Roadside-V1,1Bed,0.39,2.25,0.591532,Ceiling,"Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass",0.25,6,9,11.117543,0.94
GreenEdge-V3,1Bed,0.15,0.54,0.992996,Ceiling,"Mineral Wool Tiles, Glued/Screwed to Soffit",0.06,6,9,11.336825,0.917
HD-Urban-V1,1Bed,0.288,0.216,0.76173,Window,Glass Block + Unpainted Brick,0.024,6,9,12.031165,0.805
HD-Urban-V0,1Bed,0.346,0.378,1.011551,Window,Small Pane Glass + Gypsum Board,0.042,6,9,9.173394,0.994
Ind-Zone-V0,1Bed,0.491,0.333,0.771084,Window,Insulated Glazing Unit + Plaster with Wallpaper Backing,0.037,6,9,8.948714,0.85
MD-Urban-V2,1Bed,0.281,0.756,0.740531,Door,Acoustic Door + Plaster on Masonry,0.084,6,9,8.862306,0.869
HD-Urban-V0,3Bed,0.366,0.45,1.097751,Wall,Gypsum Board,0.05,12,9,7.551988,0.974
Roadside-V2,3Bed,0.374,0.27,0.888817,Wall,Unpainted Brick,0.03,3,9,6.924506,0.97
Roadside-V1,1Bed,0.461,2.7,0.700295,Floor,Thin Carpet on Wood,0.3,6,9,16.064313,0.855
HD-Urban-V0,2Bed,0.341,4.5,1.198793,Floor,Medium Pile Carpet,0.5,3,9,9.589543,0.851
MD-Urban-V2,2Bed,0.286,0.9,1.400211,Ceiling,"Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing",0.1,3,9,9.288809,0.97
Roadside-V2,3Bed,0.328,1.35,1.093824,Wall,Wood Paneling,0.15,3,9,6.969235,0.992
GreenEdge-V3,3Bed,0.154,0.45,1.338954,Wall,Acoustic Plaster,0.5,6,9,8.328289,0.471
Roadside-V2,3Bed,0.343,0.09,1.381141,Wall,Painted Brick,0.01,6,9,7.929892,0.324
Ind-Zone-V0,3Bed,0.537,3.24,0.821036,Wall,Concrete Block (Coarse),0.36,6,9,8.58699,0.466
Roadside-V1,3Bed,0.445,0.18,0.961137,Wall,Plaster on Masonry,0.02,3,9,7.83706,0.985
HD-Urban-V1,3Bed,0.335,5.85,1.169983,Wall,Fiberglass Board,0.65,3,9,8.275072,0.8
GreenEdge-V3,3Bed,0.166,1.35,0.834284,Wall,Wood Paneling,0.15,3,9,5.783944,0.496
HD-Urban-V1,3Bed,0.265,0.18,1.71177,Wall,Plaster on Masonry,0.02,6,9,6.593281,0.466
GreenEdge-V3,3Bed,0.154,0.45,1.338954,Wall,Gypsum Board,0.05,6,9,5.831787,0.308
HD-Urban-V0,3Bed,0.332,0.18,1.279483,Wall,Plaster on Masonry,0.02,3,9,7.883748,0.998
Roadside-V1,1Bed,0.453,0.405,0.672633,Window,Single Pane Glass + Painted Brick,0.045,3,9,7.498471,0.49
HD-Urban-V1,1Bed,0.286,1.422,0.811751,Window,Double Pane Glass + Wood Paneling,0.158,3,9,7.851073,0.483
GreenEdge-V3,1Bed,0.161,0.522,0.892511,Door,Plywood Door + Gypsum Board,0.058,3,9,7.709609,0.481
MD-Urban-V2,3Bed,0.317,5.85,1.220621,Wall,Fiberglass Board,0.65,3,9,8.01131,0.94
Roadside-V1,3Bed,0.488,0.09,0.961137,Wall,Painted Brick,0.01,3,9,7.929892,0.975
HD-Urban-V0,1Bed,0.363,0.27,0.744041,Floor,Vinyl Tile,0.03,3,9,7.553727,0.326
HD-Urban-V1,1Bed,0.326,2.25,0.57109,Floor,Thin Carpet on Concrete,0.25,3,9,7.507834,0.478
HD-Urban-V1,1Bed,0.258,0.9,1.531636,Ceiling,"Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing",0.1,3,9,9.588927,0.421
GreenEdge-V3,1Bed,0.149,4.05,0.684362,Ceiling,"Gypsum Plaster Tiles, 17% Perforated, 22mm",0.45,3,0,10.209892,0.304
Roadside-V2,1Bed,0.36,2.376,0.933369,Window,Insulated Glazing Unit + Concrete Block (Coarse),0.264,3,9,10.478916,0.398
Ind-Zone-V0,1Bed,0.527,0.324,0.881981,Window,Small Pane Glass + Plaster with Wallpaper Backing,0.036,3,9,8.61773,0.323
Roadside-V2,1Bed,0.343,4.5,0.727829,Window,Frosted Glass + Fiberglass Board,0.5,3,9,8.684421,0.482
HD-Urban-V0,1Bed,0.378,1.188,0.496027,Door,Double Pane Glass Door + Wood Paneling,0.132,3,9,8.870843,0.403
HD-Urban-V0,3Bed,0.396,3.24,1.081215,Wall,Concrete Block (Coarse),0.36,6,9,6.503395,0.975
HD-Urban-V0,3Bed,0.366,0.18,1.097751,Wall,Plaster on Masonry,0.02,9,0,6.544111,0.841
HD-Urban-V1,1Bed,0.374,4.5,0.888817,Floor,Thick Pile Carpet,0.5,6,9,11.047577,0.496
HD-Urban-V1,1Bed,0.333,2.7,0.700295,Floor,Thin Carpet on Wood,0.3,6,9,9.099007,0.504
HD-Urban-V0,1Bed,0.332,6.3,0.696507,Ceiling,Sprayed Cellulose Fiber (75mm on Solid Backing),0.7,6,9,8.787241,0.421
GreenEdge-V3,1Bed,0.19,2.16,0.702742,Ceiling,Wood Tongue-and-Groove Roof Decking,0.24,6,9,8.672585,0.488
Roadside-V1,1Bed,0.39,2.43,0.853685,Window,Wired Glass + Concrete Block (Coarse),0.27,6,9,10.563201,0.443
GreenEdge-V3,1Bed,0.15,0.144,0.709411,Window,Glass Block + Plaster on Masonry,0.016,6,9,11.722355,0.501
HD-Urban-V1,1Bed,0.288,0.153,0.502537,Window,Glazed Ceramic Tile + Plaster on Masonry,0.017,6,9,12.29621,0.428
HD-Urban-V0,1Bed,0.346,0.234,0.588428,Door,Solid Wood Door + Plaster on Masonry,0.026,6,9,8.91827,0.492
HD-Urban-V0,3Bed,0.366,1.35,1.097751,Wall,Wood Paneling,0.15,6,9,7.229151,0.8
HD-Urban-V0,3Bed,0.374,1.35,0.888817,Wall,Wood Paneling,0.15,3,9,6.778252,0.378
HD-Urban-V1,1Bed,0.32,0.09,0.700295,Floor,Marble,0.01,6,9,13.260135,0.479
HD-Urban-V1,1Bed,0.301,2.25,0.440619,Floor,Thin Carpet on Concrete,0.25,6,0,10.065245,0.477
Roadside-V1,1Bed,0.461,1.8,0.732584,Ceiling,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind,0.2,6,9,10.610736,0.398
HD-Urban-V0,2Bed,0.341,0.09,1.198793,Ceiling,"Plaster (Gypsum or Lime, on Masonry)",0.01,3,9,10.835841,0.353
MD-Urban-V2,2Bed,0.286,3.06,1.400211,Window,Wired Glass + Concrete Block (Painted),0.34,3,9,9.509201,0.332
Roadside-V1,2Bed,0.423,0.252,1.141758,Window,Glazed Ceramic Tile + Plaster with Wallpaper Backing,0.028,3,9,9.424481,0.993
HD-Urban-V1,2Bed,0.323,0.36,0.809681,Window,Single Pane Glass + Plaster on Masonry,0.04,3,9,9.194021,0.996
GreenEdge-V3,2Bed,0.167,5.004,1.625966,Door,Double Pane Glass Door + Fiberglass Board,0.556,3,9,9.344669,0.857
HD-Urban-V0,3Bed,0.424,0.18,0.778196,Wall,Plaster on Masonry,0.02,3,9,6.778159,0.385
Roadside-V2,3Bed,0.388,1.35,0.579832,Wall,Wood Paneling,0.15,6,9,8.14499,0.483
HD-Urban-V0,2Bed,0.352,0.63,0.888817,Floor,Wood Parquet,0.07,3,9,11.054543,0.993
HD-Urban-V1,2Bed,0.348,4.5,0.700295,Floor,Medium Pile Carpet,0.5,3,9,11.273825,0.805
HD-Urban-V1,2Bed,0.315,1.35,0.887599,Ceiling,"75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",0.15,6,9,11.968165,0.975
GreenEdge-V3,2Bed,0.156,6.3,1.097751,Ceiling,Sprayed Cellulose Fiber (75mm on Solid Backing),0.7,6,9,9.110394,0.94
Roadside-V2,2Bed,0.368,0.666,0.821487,Window,Double Pane Glass + Unpainted Brick,0.074,6,9,8.885714,0.486
Ind-Zone-V0,2Bed,0.515,0.306,0.677238,Window,Glazed Ceramic Tile + Gypsum Board,0.034,6,9,8.799306,0.5
Roadside-V2,2Bed,0.352,0.09,0.822791,Window,Glazed Ceramic Tile + Painted Brick,0.01,6,9,12.931809,0.392
HD-Urban-V0,2Bed,0.329,0.972,2.823301,Door,Steel Door with Acoustic Treatment + Plaster with Wallpaper Backing,0.108,6,9,14.941933,0.487
HD-Urban-V1,3Bed,0.326,0.18,0.677578,Wall,Plaster on Masonry,0.02,6,9,7.797964,0.491
HD-Urban-V1,3Bed,0.321,0.45,0.62269,Wall,Gypsum Board,0.05,3,9,8.552987,0.309
HD-Urban-V1,2Bed,0.279,0.27,0.893413,Floor,Vinyl Tile,0.03,6,0,9.225809,0.487
HD-Urban-V1,2Bed,0.372,0.63,0.833373,Floor,Wood Parquet,0.07,6,9,9.114167,0.492
HD-Urban-V0,2Bed,0.327,1.26,1.207168,Ceiling,"Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",0.14,6,9,12.625187,0.502
GreenEdge-V3,2Bed,0.195,3.6,0.800677,Ceiling,"Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool",0.4,6,9,14.422429,0.478
HD-Urban-V0,3Bed,0.382,0.342,1.136167,Window,Glazed Ceramic Tile + Gypsum Board,0.038,3,9,15.343834,0.5
MD-Urban-V2,3Bed,0.26,0.396,0.89344,Window,Wired Glass + Plaster with Wallpaper Backing,0.044,3,9,9.5092,0.471
Roadside-V1,3Bed,0.468,0.423,1.37503,Window,Large Pane Glass + Gypsum Board,0.047,3,9,9.424481,0.324
HD-Urban-V1,3Bed,0.292,4.293,1.314993,Door,Fire-Rated Door with Mineral Core + Acoustic Plaster,0.477,3,9,9.19402,0.466
GreenEdge-V3,3Bed,0.136,0.18,0.874736,Wall,Plaster on Masonry,0.02,3,9,8.829581,0.306
HD-Urban-V1,3Bed,0.32,4.14,0.684783,Wall,Concrete Block (Painted),0.46,6,9,8.281778,0.967
HD-Urban-V1,3Bed,0.286,0.45,0.719821,Wall,Gypsum Board,0.05,6,9,8.326507,0.8
HD-Urban-V1,3Bed,0.377,0.09,0.715026,Wall,Painted Brick,0.01,3,9,8.58699,0.851
GreenEdge-V3,3Bed,0.209,1.35,1.106107,Wall,Wood Paneling,0.15,3,9,8.239964,0.852
Roadside-V2,3Bed,0.352,0.36,0.866886,Wall,Plaster with Wallpaper Backing,0.04,3,9,8.405184,0.868
GreenEdge-V3,3Bed,0.21,0.09,0.617647,Wall,Painted Brick,0.01,6,9,8.01131,0.97
HD-Urban-V1,3Bed,0.31,5.85,0.822361,Wall,Fiberglass Board,0.65,6,9,7.929892,0.501
HD-Urban-V0,3Bed,0.419,0.45,0.760032,Wall,Gypsum Board,0.05,3,9,7.884507,0.988
HD-Urban-V1,3Bed,0.32,0.45,0.615679,Wall,Gypsum Board,0.05,6,9,7.920171,0.984
HD-Urban-V1,3Bed,0.344,0.18,0.683652,Wall,Plaster on Masonry,0.02,6,9,7.935803,0.984
