zone_string,apartment_type_string,floor_height_m,laeq_db,period,total_surface_sqm,element_materials_string,absorption_coefficient_by_area_m,rt60_s,n._of_sound_sources_int,average_sound_source_distance_m,spl_db,barrier_distance_m,barrier_height_m,spl_after_barrier_db,spl_after_façade_dampening_db,comfort_index_float,wall_material,window_material,door_material,floor_material,ceiling_material,element_materials_string_raw,Window_Material,Wall_Material,Door_Material,Floor_Material,Ceiling_Material
Roadside-V1,2Bed,15,45.53,night,126,"Window: Laminated Glass and Acoustic Plaster; Window: Large Pane Glass and Acoustic Plaster; Window: Laminated Glass and Plaster with Wallpaper Backing; Door: Solid Wood Door and Gypsum Board; Wall: Wood Paneling; Wall: Concrete Block (Coarse); Wall: Plaster with Wallpaper Backing; Wall: Wood Paneling; Floor: Marble; Floor: Terrazzo; Floor: Medium Pile Carpet; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Hardboard, 25% Perforated Over 50mm Mineral Wool; Ceiling: Sprayed Cellulose Fiber (25mm on Timber Lath)",0.518462,0.63365,3,17.020697,34.726407,0.8,0,34.726407,27.403495,0.626,Wood Paneling,Laminated Glass and Acoustic Plaster,Solid Wood Door and Gypsum Board,Marble,"Metal Deck (Perforated Channels, 25mm Batts)","Window: Laminated Glass and Acoustic Plaster; Window: Large Pane Glass and Acoustic Plaster; Window: Laminated Glass and Plaster with Wallpaper Backing; Door: Solid Wood Door and Gypsum Board; Wall: Wood Paneling; Wall: Concrete Block (Coarse); Wall: Plaster with Wallpaper Backing; Wall: Wood Paneling; Floor: Marble; Floor: Terrazzo; Floor: Medium Pile Carpet; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Hardboard, 25% Perforated Over 50mm Mineral Wool; Ceiling: Sprayed Cellulose Fiber (25mm on Timber Lath)",Laminated Glass and Acoustic Plaster,Wood Paneling,Solid Wood Door and Gypsum Board,Marble,"Metal Deck (Perforated Channels, 25mm Batts)"
GreenEdge-V3,2Bed,15,42.18,day,126,"Window: Frosted Glass and Concrete Block (Coarse); Window: Laminated Glass and Wood Paneling; Window: Single Pane Glass and Plaster with Wallpaper Backing; Door: Single Pane Glass Door and Painted Brick; Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Floor: Marble; Floor: Thin Carpet on Wood; Floor: Wood Flooring on Joists; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: Sprayed Cellulose Fiber (25mm on Timber Lath)",0.309859,0.772491,3,17.020697,4.997149,0.8,0,4.997149,1.126442,0.703,Concrete Block (Painted),Frosted Glass and Concrete Block (Coarse),Single Pane Glass Door and Painted Brick,Marble,"Plaster (Gypsum or Lime, Rough Finish or Timber Lath)","Window: Frosted Glass and Concrete Block (Coarse); Window: Laminated Glass and Wood Paneling; Window: Single Pane Glass and Plaster with Wallpaper Backing; Door: Single Pane Glass Door and Painted Brick; Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Floor: Marble; Floor: Thin Carpet on Wood; Floor: Wood Flooring on Joists; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: Sprayed Cellulose Fiber (25mm on Timber Lath)",Frosted Glass and Concrete Block (Coarse),Concrete Block (Painted),Single Pane Glass Door and Painted Brick,Marble,"Plaster (Gypsum or Lime, Rough Finish or Timber Lath)"
HD-Urban-V0,2Bed,15,48.35,day,126,"Window: Insulated Glazing Unit and Concrete Block (Coarse); Window: Large Pane Glass and Unpainted Brick; Window: Frosted Glass and Concrete Block (Painted); Door: Hollow-Core Wood Door and Gypsum Board; Wall: Unpainted Brick; Wall: Fiberglass Board; Wall: Plaster with Wallpaper Backing; Wall: Wood Paneling; Floor: Cork Floor Tiles; Floor: Cork Floor Tiles; Floor: Vinyl Tile; Ceiling: Sprayed Cellulose Fiber (32mm on Solid Backing); Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",0.377617,0.721165,3,17.020697,2.149666,0.8,0,2.149666,0.410952,0.659,Unpainted Brick,Insulated Glazing Unit and Concrete Block (Coarse),Hollow-Core Wood Door and Gypsum Board,Cork Floor Tiles,Sprayed Cellulose Fiber (32mm on Solid Backing),"Window: Insulated Glazing Unit and Concrete Block (Coarse); Window: Large Pane Glass and Unpainted Brick; Window: Frosted Glass and Concrete Block (Painted); Door: Hollow-Core Wood Door and Gypsum Board; Wall: Unpainted Brick; Wall: Fiberglass Board; Wall: Plaster with Wallpaper Backing; Wall: Wood Paneling; Floor: Cork Floor Tiles; Floor: Cork Floor Tiles; Floor: Vinyl Tile; Ceiling: Sprayed Cellulose Fiber (32mm on Solid Backing); Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",Insulated Glazing Unit and Concrete Block (Coarse),Unpainted Brick,Hollow-Core Wood Door and Gypsum Board,Cork Floor Tiles,Sprayed Cellulose Fiber (32mm on Solid Backing)
Roadside-V1,2Bed,15,50.82,day,126,"Window: Insulated Glazing Unit and Plaster with Wallpaper Backing; Window: Laminated Glass and Concrete Block (Coarse); Door: Solid Wood Door and Wood Paneling; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Wood Paneling; Wall: Concrete Block (Coarse); Wall: Concrete Block (Coarse); Floor: Vinyl Tile; Floor: Cork Floor Tiles; Floor: Thick Pile Carpet; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: 50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass",0.462124,0.665977,2,22.469466,13.529149,0.8,0,13.529149,6.350783,0.481,Wood Paneling,Insulated Glazing Unit and Plaster with Wallpaper Backing,Solid Wood Door and Wood Paneling,Vinyl Tile,"75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing","Window: Insulated Glazing Unit and Plaster with Wallpaper Backing; Window: Laminated Glass and Concrete Block (Coarse); Door: Solid Wood Door and Wood Paneling; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Wood Paneling; Wall: Concrete Block (Coarse); Wall: Concrete Block (Coarse); Floor: Vinyl Tile; Floor: Cork Floor Tiles; Floor: Thick Pile Carpet; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: 50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass",Insulated Glazing Unit and Plaster with Wallpaper Backing,Wood Paneling,Solid Wood Door and Wood Paneling,Vinyl Tile,"75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing"
GreenEdge-V3,2Bed,15,24.05,night,126,Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Single Pane Glass and Plaster with Wallpaper Backing; Door: Solid Wood Door and Gypsum Board; Wall: Acoustic Plaster; Wall: Acoustic Plaster; Wall: Gypsum Board; Wall: Unpainted Brick; Wall: Painted Brick; Floor: Medium Pile Carpet; Floor: Thin Carpet on Concrete; Floor: Medium Pile Carpet; Ceiling: 50mm Mineral Wool Behind 25% Open Area Perforated Steel; Ceiling: Sprayed Cellulose Fiber (25mm on Timber Lath); Ceiling: 0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass,0.744195,0.530478,2,21.537657,11.884541,0.8,0,11.884541,3.602166,0.721,Acoustic Plaster,Glazed Ceramic Tile and Plaster on Masonry,Solid Wood Door and Gypsum Board,Medium Pile Carpet,50mm Mineral Wool Behind 25% Open Area Perforated Steel,Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Single Pane Glass and Plaster with Wallpaper Backing; Door: Solid Wood Door and Gypsum Board; Wall: Acoustic Plaster; Wall: Acoustic Plaster; Wall: Gypsum Board; Wall: Unpainted Brick; Wall: Painted Brick; Floor: Medium Pile Carpet; Floor: Thin Carpet on Concrete; Floor: Medium Pile Carpet; Ceiling: 50mm Mineral Wool Behind 25% Open Area Perforated Steel; Ceiling: Sprayed Cellulose Fiber (25mm on Timber Lath); Ceiling: 0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass,Glazed Ceramic Tile and Plaster on Masonry,Acoustic Plaster,Solid Wood Door and Gypsum Board,Medium Pile Carpet,50mm Mineral Wool Behind 25% Open Area Perforated Steel
HD-Urban-V0,3Bed,3,52.12,day,162,"Window: Large Pane Glass and Plaster with Wallpaper Backing; Window: Glass Block and Concrete Block (Painted); Window: Insulated Glazing Unit and Unpainted Brick; Window: Laminated Glass and Wood Paneling; Window: Insulated Glazing Unit and Painted Brick; Door: Acoustic Door and Fiberglass Board; Wall: Fiberglass Board; Wall: Plaster with Wallpaper Backing; Wall: Gypsum Board; Wall: Plaster on Masonry; Floor: Medium Pile Carpet; Floor: Thin Carpet on Concrete; Floor: Wood Parquet; Floor: Vinyl Tile; Ceiling: Plasterboard (12mm) in Suspended Ceiling Grid; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Sprayed Cellulose Fiber (32mm on Solid Backing); Ceiling: Plasterboard 10mm Thick Backed with 25mm Thick Bitumen",0.447184,0.810176,5,8.125739,5.245792,0.8,0,5.245792,3.073395,0.564,Fiberglass Board,Large Pane Glass and Plaster with Wallpaper Backing,Acoustic Door and Fiberglass Board,Medium Pile Carpet,Plasterboard (12mm) in Suspended Ceiling Grid,"Window: Large Pane Glass and Plaster with Wallpaper Backing; Window: Glass Block and Concrete Block (Painted); Window: Insulated Glazing Unit and Unpainted Brick; Window: Laminated Glass and Wood Paneling; Window: Insulated Glazing Unit and Painted Brick; Door: Acoustic Door and Fiberglass Board; Wall: Fiberglass Board; Wall: Plaster with Wallpaper Backing; Wall: Gypsum Board; Wall: Plaster on Masonry; Floor: Medium Pile Carpet; Floor: Thin Carpet on Concrete; Floor: Wood Parquet; Floor: Vinyl Tile; Ceiling: Plasterboard (12mm) in Suspended Ceiling Grid; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Sprayed Cellulose Fiber (32mm on Solid Backing); Ceiling: Plasterboard 10mm Thick Backed with 25mm Thick Bitumen",Large Pane Glass and Plaster with Wallpaper Backing,Fiberglass Board,Acoustic Door and Fiberglass Board,Medium Pile Carpet,Plasterboard (12mm) in Suspended Ceiling Grid
Roadside-V1,3Bed,3,51.15,day,162,"Window: Wired Glass and Fiberglass Board; Window: Small Pane Glass and Concrete Block (Painted); Window: Single Pane Glass and Acoustic Plaster; Window: Glazed Ceramic Tile and Wood Paneling; Door: Steel Door with Acoustic Treatment and Painted Brick; Wall: Wood Paneling; Wall: Acoustic Plaster; Wall: Plaster on Masonry; Wall: Unpainted Brick; Wall: Gypsum Board; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Floor: Thin Carpet on Concrete; Ceiling: Underlay in Perforated Metal Panels (25mm Batts); Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void; Ceiling: 50mm Mineral Wool Behind 25% Open Area Perforated Steel; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit",0.579994,0.715379,4,8.663662,24.850297,0.8,0,24.850297,9.343868,0.502,Wood Paneling,Wired Glass and Fiberglass Board,Steel Door with Acoustic Treatment and Painted Brick,Cork Floor Tiles,Underlay in Perforated Metal Panels (25mm Batts),"Window: Wired Glass and Fiberglass Board; Window: Small Pane Glass and Concrete Block (Painted); Window: Single Pane Glass and Acoustic Plaster; Window: Glazed Ceramic Tile and Wood Paneling; Door: Steel Door with Acoustic Treatment and Painted Brick; Wall: Wood Paneling; Wall: Acoustic Plaster; Wall: Plaster on Masonry; Wall: Unpainted Brick; Wall: Gypsum Board; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Floor: Thin Carpet on Concrete; Ceiling: Underlay in Perforated Metal Panels (25mm Batts); Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void; Ceiling: 50mm Mineral Wool Behind 25% Open Area Perforated Steel; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit",Wired Glass and Fiberglass Board,Wood Paneling,Steel Door with Acoustic Treatment and Painted Brick,Cork Floor Tiles,Underlay in Perforated Metal Panels (25mm Batts)
GreenEdge-V3,3Bed,3,46.1,day,162,"Window: Frosted Glass and Gypsum Board; Window: Frosted Glass and Wood Paneling; Window: Glazed Ceramic Tile and Painted Brick; Window: Insulated Glazing Unit and Painted Brick; Door: Single Pane Glass Door and Gypsum Board; Wall: Fiberglass Board; Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Painted Brick; Wall: Painted Brick; Floor: Thin Carpet on Wood; Floor: Wood Parquet; Floor: Thick Pile Carpet; Floor: Marble; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit; Ceiling: 50mm Mineral Wool Behind 25% Open Area Perforated Steel; Ceiling: Underlay in Perforated Metal Panels (25mm Batts); Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",0.42589,0.827764,4,6.342488,5.449633,0.8,0,5.449633,3.08087,0.471,Fiberglass Board,Frosted Glass and Gypsum Board,Single Pane Glass Door and Gypsum Board,Thin Carpet on Wood,"Mineral Wool Tiles, Glued/Screwed to Soffit","Window: Frosted Glass and Gypsum Board; Window: Frosted Glass and Wood Paneling; Window: Glazed Ceramic Tile and Painted Brick; Window: Insulated Glazing Unit and Painted Brick; Door: Single Pane Glass Door and Gypsum Board; Wall: Fiberglass Board; Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Painted Brick; Wall: Painted Brick; Floor: Thin Carpet on Wood; Floor: Wood Parquet; Floor: Thick Pile Carpet; Floor: Marble; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit; Ceiling: 50mm Mineral Wool Behind 25% Open Area Perforated Steel; Ceiling: Underlay in Perforated Metal Panels (25mm Batts); Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",Frosted Glass and Gypsum Board,Fiberglass Board,Single Pane Glass Door and Gypsum Board,Thin Carpet on Wood,"Mineral Wool Tiles, Glued/Screwed to Soffit"
HD-Urban-V0,3Bed,3,15.35,night,162,"Window: Small Pane Glass and Plaster on Masonry; Window: Single Pane Glass and Concrete Block (Coarse); Window: Single Pane Glass and Wood Paneling; Window: Large Pane Glass and Gypsum Board; Door: Fire-Rated Door with Mineral Core and Acoustic Plaster; Wall: Acoustic Plaster; Wall: Plaster on Masonry; Wall: Painted Brick; Wall: Unpainted Brick; Wall: Painted Brick; Floor: Thin Carpet on Wood; Floor: Cork Floor Tiles; Floor: Medium Pile Carpet; Floor: Vinyl Tile; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: 50mm Mineral Wool Behind 25% Open Area Perforated Steel; Ceiling: Plasterboard (12mm) in Suspended Ceiling Grid; Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool",0.339591,0.90761,4,15.18355,24.125498,0.8,0,24.125498,8.794957,0.873,Acoustic Plaster,Small Pane Glass and Plaster on Masonry,Fire-Rated Door with Mineral Core and Acoustic Plaster,Thin Carpet on Wood,"Plaster Decorative Panels, Ceilings","Window: Small Pane Glass and Plaster on Masonry; Window: Single Pane Glass and Concrete Block (Coarse); Window: Single Pane Glass and Wood Paneling; Window: Large Pane Glass and Gypsum Board; Door: Fire-Rated Door with Mineral Core and Acoustic Plaster; Wall: Acoustic Plaster; Wall: Plaster on Masonry; Wall: Painted Brick; Wall: Unpainted Brick; Wall: Painted Brick; Floor: Thin Carpet on Wood; Floor: Cork Floor Tiles; Floor: Medium Pile Carpet; Floor: Vinyl Tile; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: 50mm Mineral Wool Behind 25% Open Area Perforated Steel; Ceiling: Plasterboard (12mm) in Suspended Ceiling Grid; Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool",Small Pane Glass and Plaster on Masonry,Acoustic Plaster,Fire-Rated Door with Mineral Core and Acoustic Plaster,Thin Carpet on Wood,"Plaster Decorative Panels, Ceilings"
Roadside-V1,3Bed,3,54.57,day,162,"Window: Laminated Glass and Plaster with Wallpaper Backing; Window: Large Pane Glass and Concrete Block (Coarse); Window: Large Pane Glass and Fiberglass Board; Window: Laminated Glass and Concrete Block (Painted); Door: Double Pane Glass Door and Unpainted Brick; Wall: Plaster with Wallpaper Backing; Wall: Gypsum Board; Wall: Acoustic Plaster; Wall: Painted Brick; Wall: Acoustic Plaster; Floor: Terrazzo; Floor: Thick Pile Carpet; Floor: Vinyl Tile; Floor: Thin Carpet on Wood; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: 50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Plasterboard (12mm) in Suspended Ceiling Grid; Ceiling: Underlay in Perforated Metal Panels (25mm Batts)",0.620062,0.690987,4,8.663662,30.140192,0.8,0,30.140192,13.875279,0.55,Plaster with Wallpaper Backing,Laminated Glass and Plaster with Wallpaper Backing,Double Pane Glass Door and Unpainted Brick,Terrazzo,"Plaster (Gypsum or Lime, Rough Finish or Timber Lath)","Window: Laminated Glass and Plaster with Wallpaper Backing; Window: Large Pane Glass and Concrete Block (Coarse); Window: Large Pane Glass and Fiberglass Board; Window: Laminated Glass and Concrete Block (Painted); Door: Double Pane Glass Door and Unpainted Brick; Wall: Plaster with Wallpaper Backing; Wall: Gypsum Board; Wall: Acoustic Plaster; Wall: Painted Brick; Wall: Acoustic Plaster; Floor: Terrazzo; Floor: Thick Pile Carpet; Floor: Vinyl Tile; Floor: Thin Carpet on Wood; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: 50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Plasterboard (12mm) in Suspended Ceiling Grid; Ceiling: Underlay in Perforated Metal Panels (25mm Batts)",Laminated Glass and Plaster with Wallpaper Backing,Plaster with Wallpaper Backing,Double Pane Glass Door and Unpainted Brick,Terrazzo,"Plaster (Gypsum or Lime, Rough Finish or Timber Lath)"
GreenEdge-V3,3Bed,3,23.19,night,162,"Window: Double Pane Glass and Concrete Block (Coarse); Window: Small Pane Glass and Concrete Block (Painted); Window: Glazed Ceramic Tile and Concrete Block (Coarse); Door: Sliding Wood Door and Concrete Block (Coarse); Wall: Wood Paneling; Wall: Gypsum Board; Wall: Concrete Block (Painted); Wall: Acoustic Plaster; Wall: Gypsum Board; Wall: Plaster with Wallpaper Backing; Floor: Thin Carpet on Wood; Floor: Thin Carpet on Wood; Floor: Terrazzo; Floor: Wood Flooring on Joists; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit; Ceiling: Plasterboard (12mm) in Suspended Ceiling Grid; Ceiling: Hardboard, 25% Perforated Over 50mm Mineral Wool; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool",0.574391,0.718928,3,14.760672,10.307324,0.8,0,10.307324,3.404133,0.841,Wood Paneling,Double Pane Glass and Concrete Block (Coarse),Sliding Wood Door and Concrete Block (Coarse),Thin Carpet on Wood,"Mineral Wool Tiles, Glued/Screwed to Soffit","Window: Double Pane Glass and Concrete Block (Coarse); Window: Small Pane Glass and Concrete Block (Painted); Window: Glazed Ceramic Tile and Concrete Block (Coarse); Door: Sliding Wood Door and Concrete Block (Coarse); Wall: Wood Paneling; Wall: Gypsum Board; Wall: Concrete Block (Painted); Wall: Acoustic Plaster; Wall: Gypsum Board; Wall: Plaster with Wallpaper Backing; Floor: Thin Carpet on Wood; Floor: Thin Carpet on Wood; Floor: Terrazzo; Floor: Wood Flooring on Joists; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit; Ceiling: Plasterboard (12mm) in Suspended Ceiling Grid; Ceiling: Hardboard, 25% Perforated Over 50mm Mineral Wool; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool",Double Pane Glass and Concrete Block (Coarse),Wood Paneling,Sliding Wood Door and Concrete Block (Coarse),Thin Carpet on Wood,"Mineral Wool Tiles, Glued/Screwed to Soffit"
HD-Urban-V0,3Bed,3,17.91,night,162,"Window: Large Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Gypsum Board; Window: Laminated Glass and Plaster with Wallpaper Backing; Window: Frosted Glass and Concrete Block (Painted); Door: Fire-Rated Door with Mineral Core and Plaster on Masonry; Wall: Acoustic Plaster; Wall: Painted Brick; Wall: Acoustic Plaster; Wall: Fiberglass Board; Wall: Plaster with Wallpaper Backing; Floor: Marble; Floor: Thick Pile Carpet; Floor: Thin Carpet on Concrete; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: Plasterboard (12mm) in Suspended Ceiling Grid; Ceiling: 50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Plasterboard (12mm) in Suspended Ceiling Grid",0.596526,0.70511,4,6.342488,31.158431,0.8,0,31.158431,14.820143,0.893,Acoustic Plaster,Large Pane Glass and Plaster with Wallpaper Backing,Fire-Rated Door with Mineral Core and Plaster on Masonry,Marble,"Mineral Wool Tiles, 180mm Airspace","Window: Large Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Gypsum Board; Window: Laminated Glass and Plaster with Wallpaper Backing; Window: Frosted Glass and Concrete Block (Painted); Door: Fire-Rated Door with Mineral Core and Plaster on Masonry; Wall: Acoustic Plaster; Wall: Painted Brick; Wall: Acoustic Plaster; Wall: Fiberglass Board; Wall: Plaster with Wallpaper Backing; Floor: Marble; Floor: Thick Pile Carpet; Floor: Thin Carpet on Concrete; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: Plasterboard (12mm) in Suspended Ceiling Grid; Ceiling: 50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Plasterboard (12mm) in Suspended Ceiling Grid",Large Pane Glass and Plaster with Wallpaper Backing,Acoustic Plaster,Fire-Rated Door with Mineral Core and Plaster on Masonry,Marble,"Mineral Wool Tiles, 180mm Airspace"
Roadside-V1,3Bed,6,37.14,night,162,"Window: Wired Glass and Unpainted Brick; Window: Double Pane Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Small Pane Glass and Wood Paneling; Window: Wired Glass and Acoustic Plaster; Door: Plywood Door and Unpainted Brick; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Wood Paneling; Wall: Painted Brick; Floor: Cork Floor Tiles; Floor: Vinyl Tile; Floor: Terrazzo; Floor: Cork Floor Tiles; Ceiling: Perforated Underside of Structural Steel Decking; Ceiling: Plywood, 12mm, with 30mm Thick Fibreglass Backing Between 30mm Battens; Ceiling: Hardboard, 25% Perforated Over 50mm Mineral Wool; Ceiling: Plasterboard (12mm) in Suspended Ceiling Grid",0.370412,0.877384,5,10.712639,20.382055,0.8,0,20.382055,6.365108,0.727,Unpainted Brick,Wired Glass and Unpainted Brick,Plywood Door and Unpainted Brick,Cork Floor Tiles,Perforated Underside of Structural Steel Decking,"Window: Wired Glass and Unpainted Brick; Window: Double Pane Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Small Pane Glass and Wood Paneling; Window: Wired Glass and Acoustic Plaster; Door: Plywood Door and Unpainted Brick; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Wood Paneling; Wall: Painted Brick; Floor: Cork Floor Tiles; Floor: Vinyl Tile; Floor: Terrazzo; Floor: Cork Floor Tiles; Ceiling: Perforated Underside of Structural Steel Decking; Ceiling: Plywood, 12mm, with 30mm Thick Fibreglass Backing Between 30mm Battens; Ceiling: Hardboard, 25% Perforated Over 50mm Mineral Wool; Ceiling: Plasterboard (12mm) in Suspended Ceiling Grid",Wired Glass and Unpainted Brick,Unpainted Brick,Plywood Door and Unpainted Brick,Cork Floor Tiles,Perforated Underside of Structural Steel Decking
GreenEdge-V3,3Bed,6,34.93,day,162,"Window: Frosted Glass and Concrete Block (Painted); Window: Frosted Glass and Fiberglass Board; Window: Glass Block and Unpainted Brick; Window: Double Pane Glass and Painted Brick; Door: Single Pane Glass Door and Painted Brick; Wall: Plaster with Wallpaper Backing; Wall: Fiberglass Board; Wall: Painted Brick; Wall: Fiberglass Board; Wall: Concrete Block (Coarse); Floor: Vinyl Tile; Floor: Wood Flooring on Joists; Floor: Thick Pile Carpet; Floor: Wood Flooring on Joists; Ceiling: Plasterboard (12mm) in Suspended Ceiling Grid; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing",0.582236,0.713969,4,8.747136,5.57664,0.8,0,5.57664,3.085701,0.796,Plaster with Wallpaper Backing,Frosted Glass and Concrete Block (Painted),Single Pane Glass Door and Painted Brick,Vinyl Tile,Plasterboard (12mm) in Suspended Ceiling Grid,"Window: Frosted Glass and Concrete Block (Painted); Window: Frosted Glass and Fiberglass Board; Window: Glass Block and Unpainted Brick; Window: Double Pane Glass and Painted Brick; Door: Single Pane Glass Door and Painted Brick; Wall: Plaster with Wallpaper Backing; Wall: Fiberglass Board; Wall: Painted Brick; Wall: Fiberglass Board; Wall: Concrete Block (Coarse); Floor: Vinyl Tile; Floor: Wood Flooring on Joists; Floor: Thick Pile Carpet; Floor: Wood Flooring on Joists; Ceiling: Plasterboard (12mm) in Suspended Ceiling Grid; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing",Frosted Glass and Concrete Block (Painted),Plaster with Wallpaper Backing,Single Pane Glass Door and Painted Brick,Vinyl Tile,Plasterboard (12mm) in Suspended Ceiling Grid
